id,category,difficulty,question,expected_lesson,expected_notebook,expected_type,notes,split
1,Python,easy,What is Python?,w1d1,1_intro_to_python.ipynb,both,,tune
2,Python,easy,How do variables work in Python?,w1d1,1_intro_to_python.ipynb,both,,tune
3,Python,easy,What are Python data types?,w1d1,1_intro_to_python.ipynb,both,,tune
4,Python,easy,What is an if statement?,w1d1,2_flow_control.ipynb,both,,tune
5,Python,easy,How do for loops work?,w1d1,2_flow_control.ipynb,both,,tune
6,Python,easy,What is a while loop?,w1d1,2_flow_control.ipynb,both,,tune
7,Python,medium,What is a Python function?,w1d2,3_functions.ipynb,both,,tune
8,Python,medium,What is the difference between positional and keyword arguments?,w1d2,3_functions.ipynb,both,,tune
9,Python,medium,What is variable scope?,w1d2,3_functions.ipynb,both,,tune
10,Python,medium,What is a lambda function?,w1d2,3_functions.ipynb,both,,tune
11,Python,medium,What are list comprehensions?,w1d2,4_comprehensions.ipynb,both,,tune
12,Python,medium,How do list comprehensions improve Python code?,w1d2,4_comprehensions.ipynb,both,,tune
13,Python,easy,How do try and except work?,w1d3,5_error_handling.ipynb,both,,tune
14,Python,medium,Why is exception handling important?,w1d3,5_error_handling.ipynb,both,,tune
15,Python,medium,What does map() do?,w1d3,6_map-filter-reduce.ipynb,both,,tune
16,Python,medium,What is filter() used for?,w1d3,6_map-filter-reduce.ipynb,both,,tune
17,Python,medium,What is reduce() used for?,w1d3,6_map-filter-reduce.ipynb,both,,tune
18,Python,easy,What is NumPy?,w1d4,2_1_numpy_intro.ipynb,both,,tune
19,Python,medium,Why do we use NumPy arrays?,w1d4,2_1_numpy_intro.ipynb,both,,tune
20,Python,easy,What is Pandas?,w1d4,3_1_pandas_intro.ipynb,both,,tune
21,Python,medium,How do you load a CSV using Pandas?,w1d4,3_1_pandas_intro.ipynb,both,,tune
22,Python,medium,What is groupby() in Pandas?,w1d5,3_2_pandas_groupby.ipynb,both,,holdout
23,Python,medium,What is merge() in Pandas?,w1d5,3_3_pandas_combining_dataframes.ipynb,both,,tune
24,Python,medium,What is concat() in Pandas?,w1d5,3_3_pandas_combining_dataframes.ipynb,both,,tune
25,Visualization,easy,Why is data visualization important?,w1d5,4_1_data_viz.ipynb,both,,holdout
26,Machine Learning,easy,What is Machine Learning?,w2d1,1_supervised_demo_i_linear_regression.ipynb,both,,tune
27,Machine Learning,medium,What is Linear Regression?,w2d1,1_supervised_demo_i_linear_regression.ipynb,both,,tune
28,Machine Learning,medium,What is train-test split?,w2d1,1_supervised_demo_i_linear_regression.ipynb,both,,tune
29,Machine Learning,medium,What is overfitting?,w2d1,1_supervised_demo_i_linear_regression.ipynb,both,,tune
30,Machine Learning,medium,What is Logistic Regression?,w2d1,2_supervised_demo_iI_logistic_reg.ipynb,both,,tune
31,Machine Learning,medium,What is MAE?,w2d2,3_supervised_metrics_regression.ipynb,both,,tune
32,Machine Learning,medium,What is RMSE?,w2d2,3_supervised_metrics_regression.ipynb,both,,tune
33,Machine Learning,medium,What is R²?,w2d2,3_supervised_metrics_regression.ipynb,both,,tune
34,Machine Learning,medium,What is a confusion matrix?,w2d2,4_supervised_metrics_classification.ipynb,both,,tune
35,Machine Learning,medium,What is Precision?,w2d2,4_supervised_metrics_classification.ipynb,both,,tune
36,Machine Learning,medium,What is Recall?,w2d2,4_supervised_metrics_classification.ipynb,both,,tune
37,Machine Learning,medium,What is Accuracy?,w2d2,4_supervised_metrics_classification.ipynb,both,,tune
38,Machine Learning,medium,What classification algorithms were covered?,w2d2,6_supervised_algorithms_classification.ipynb,both,,tune
39,Machine Learning,medium,What regression algorithms were covered?,w2d2,5_supervised_algorithms_regression.ipynb,both,,tune
40,Machine Learning,hard,Explain the complete supervised learning workflow.,w2d3,7_supervised_end_to_end_demo.ipynb,both,,tune
41,Machine Learning,medium,What is clustering?,w2d4,1_clustering.ipynb,both,,tune
42,Machine Learning,medium,What is PCA?,w2d4,2_dimensionality_reduction.ipynb,both,,holdout
43,Deep Learning,easy,What is Deep Learning?,w3d1,1. Deep_Learning_demo_i.ipynb,both,,holdout
44,Deep Learning,medium,What is backpropagation?,w3d1,1. Deep_Learning_demo_i.ipynb,both,,tune
45,Deep Learning,medium,What is gradient descent?,w3d1,1. Deep_Learning_demo_i.ipynb,both,,holdout
46,Computer Vision,medium,What is Computer Vision?,w3d2,3. Computer Vision Intro.ipynb,both,,holdout
47,Computer Vision,medium,What is a CNN?,w3d2,4. Deep_Learning_demo_ii_CNNs.ipynb,both,,holdout
48,NLP,easy,What is NLP?,w4d2,NLP_1.ipynb,both,,tune
49,NLP,medium,What is tokenization?,w4d2,NLP_2.ipynb,both,,tune
50,NLP,medium,What is stemming?,w4d2,NLP_2.ipynb,both,,tune
51,NLP,medium,What is lemmatization?,w4d2,NLP_2.ipynb,both,,tune
52,NLP,medium,What is TF-IDF?,w4d2,NLP_3.ipynb,both,,tune
53,NLP,medium,What are n-grams?,w4d2,NLP_3.ipynb,both,,tune
54,NLP,medium,What is Bag of Words?,w4d2,NLP_3.ipynb,both,,holdout
55,Embeddings,medium,What are embeddings?,w4d3,1_Embeddings_Intro.ipynb,both,,holdout
56,Embeddings,medium,What is Word2Vec?,w4d3,2_Embeddings_Demo.ipynb,both,,holdout
57,Database,easy,What is SQLite?,w5d1,3_Demo_SQLite_and_Python.ipynb,both,,holdout
58,LLM,easy,What is an API?,w5d2,1_whats_an_api.ipynb,both,,tune
59,LLM,medium,How do you use the OpenAI API?,w5d2,2_openai_api_demo.ipynb,both,,tune
60,LLM,medium,What is Prompt Engineering?,w5d2,3_prompt_engineering_recommendations.ipynb,both,,tune
61,LLM,medium,What is Prompt Injection?,w5d3,6_prompt_injection_example.ipynb,both,,tune
62,LLM,medium,What is Tool Calling?,w5d3,7_tool_calling.ipynb,both,,tune
63,LLM,medium,What is Quantization?,w5d4,1_quantization.ipynb,both,,tune
64,LLM,medium,What is Transfer Learning?,w5d5,1_transfer_learning.ipynb,both,,holdout
65,LLM,medium,What is LoRA?,w5d5,2_explanations_lora.ipynb,both,,tune
66,LLM,medium,What is QLoRA?,w5d5,3_explanations_qlora.ipynb,both,,tune
67,Deployment,medium,How do you build an API with FastAPI?,w6d1,,video,,holdout
68,Deployment,medium,What is CORS?,w6d1,,video,,holdout
69,Deployment,medium,How do you deploy on Render?,w6d1,,video,,tune
